,"Skill cat: Maintenance, Repair, and Facility Services",Skill cat: Architecture and Construction,Skill cat: Design,Skill cat: Engineering,Skill cat: Media and Communications,Skill cat: Health Care,Skill cat: Finance,Skill cat: Human Resources,Skill cat: Manufacturing and Production,Skill cat: Energy and Utilities,Skill cat: Customer and Client Support,Skill cat: Education and Training,Skill cat: Public Safety and National Security,Skill cat: Science and Research,Skill cat: Analysis,Skill cat: Environment,"Skill cat: Transportation, Supply Chain, and Logistics","Skill cat: Law, Regulation, and Compliance",Skill cat: Physical and Inherent Abilities,Skill cat: Administration,Skill cat: Social and Human Services,Skill cat: Sales,"Skill cat: Performing Arts, Sports, and Recreation","Skill cat: Economics, Policy, and Social Studies","Skill cat: Agriculture, Horticulture, and Landscaping",Skill cat: Personal Care and Services,Skill cat: Hospitality and Food Services,Skill cat: Property and Real Estate
2023-01-01,0.5992455818232105,0.21954479086357642,0.04748685538337441,0.5927689022370262,0.44785883613152266,0.10303922830629442,0.07834991909525542,0.05262355402762656,0.5972126591710075,0.12129828057878148,0.14467261306258128,0.056764672116230874,0.049985326203821234,0.15276467612232186,0.14392628661053908,0.03410824138480634,0.3451217689550743,0.4358694438412454,0.7435269403841085,0.24316878863139738,0.004445123741841445,0.06090423968162301,0.0022320623801032878,0.011657221649602437,0.010820972789991598,0.002012736727866243,0.06055107500178497,0.0030091196920232627
2023-02-01,0.6026485289731032,0.22163413932646506,0.047691420057110134,0.6005264342272282,0.4454071745732282,0.10250311191003111,0.07888671504899353,0.05467082543957111,0.5960108717012622,0.12126203660115514,0.14761091858950937,0.05978238193346469,0.050410894844053256,0.15169200073581857,0.1435682342170912,0.03545889343908262,0.34489181802677243,0.43299193804398406,0.7506038048944459,0.23922656872469691,0.004274320258615502,0.06311665458912213,0.002206447484631352,0.012437951772269654,0.011481125673826358,0.0022211708369311483,0.06565819935554429,0.004160730203760128
2023-03-01,0.6043747838491852,0.2243859729674359,0.047615350269174045,0.6099810518816048,0.44410246061592357,0.1012773829660266,0.07908984179795692,0.05705443160905985,0.5948105963860274,0.11968235646520534,0.15115781904402792,0.06446338681643243,0.05073229185106857,0.15317441781886715,0.14301174355724586,0.037257450146345066,0.3470195239151477,0.4300764150069742,0.7605718188189585,0.23392443660178783,0.004117226727587228,0.06579449817704519,0.002256464840334502,0.01365480487762219,0.012403412678309127,0.0023449244727482784,0.07179109877686185,0.005959967588026853
2023-04-01,0.6044604174124721,0.22786841785679487,0.04782252706504092,0.620123294270989,0.44550158992500577,0.09933174747848375,0.07895305636679208,0.05868936155953397,0.591857029729389,0.11712511352647695,0.15496010378313643,0.06977328049552911,0.05095132235847005,0.15820586630145844,0.14254015567175699,0.038911751886781074,0.34781463232235804,0.4283733891592676,0.7739462091350428,0.22836051013812303,0.0038975577250139858,0.06737828132092089,0.0023374331615319795,0.015457827192169163,0.013493165909135227,0.0023843087548130926,0.0791988258569836,0.008352349264150308
2023-05-01,0.6043455978023893,0.23200630669761224,0.04852868015665149,0.6299543992932459,0.44867218347330473,0.09669075237175664,0.07878777913935706,0.05937507158537339,0.5851358036535775,0.11455652511738848,0.15811511761560432,0.07432394103075407,0.051076002533633126,0.16571114669754,0.14277639586244778,0.04011281634830856,0.34723153307871063,0.4271367821337433,0.7904615497732046,0.22342425657840406,0.003580517740519259,0.06649367732648709,0.002402219622040864,0.01785940960491826,0.014633405168853031,0.00236732399196184,0.08814281169089677,0.01117390571549317
2023-06-01,0.605663562609264,0.23650877104589965,0.049536848997353555,0.6387008419838756,0.45169023447506124,0.09342718617679013,0.07850571935922802,0.059540018572114634,0.5749352395643298,0.11240523625051062,0.16003485371417192,0.07729244059043044,0.05111967713226122,0.17346477827190288,0.14438529435197253,0.04119720345772725,0.3480973178669827,0.4252760420479278,0.8100085721751683,0.21936777524504844,0.0031711763926235217,0.06279031290960596,0.0023807959155857173,0.020732608639305178,0.01569509176496582,0.0023431777004162633,0.09889732717352354,0.014178492815499391
2023-07-01,0.6092751495477017,0.2409212396896827,0.05041335553877492,0.6458973683960354,0.4540836790525868,0.08965075280996991,0.07726752122070807,0.05975189232854436,0.5636166565151951,0.1105772914644998,0.1607693676104714,0.07886465904920698,0.05109985318551283,0.17975373678761986,0.1476559918881798,0.04298638583238341,0.3485001707559533,0.42206555714189925,0.8330387587239115,0.2158229000966512,0.0026268745498358483,0.0571678120848883,0.002284899988848241,0.02375589456780236,0.01655007285540036,0.002371914871219855,0.11176376978313429,0.017099457290212325
2023-08-01,0.6148873103623871,0.24476094348924857,0.05078893901179514,0.6513472385615895,0.4576406365727395,0.08549346159342316,0.07468383827123373,0.060487554363947205,0.5530076297202731,0.10905404504255566,0.16077647328476868,0.07984285190082058,0.05103684005670986,0.18438312575041665,0.1523196777770367,0.04623265239461261,0.34595160168400163,0.41825847625918056,0.8599604347158033,0.2122202618590073,0.0018873270543947399,0.05099746412704936,0.0021784433733719162,0.02650990560425462,0.01708567526758186,0.002513373438226908,0.1270863704754794,0.019724119686811467
2023-09-01,0.6213844760009981,0.24765566887006313,0.05059613196146989,0.6550163028737177,0.46239248574809855,0.08109342172091764,0.07123490293239268,0.06206834356065569,0.5428496497073327,0.10800355790611132,0.16044921146863733,0.08078432834626476,0.050952293137219246,0.18851898565183844,0.1577435835309344,0.0511227138151473,0.34235897165050355,0.41525634890901,0.8906070021053893,0.20832509396856588,0.00099817476318316,0.04502228901732436,0.002108106140123688,0.028791968729804454,0.017219262644068374,0.0028184679611111176,0.1452641967718861,0.021912560939289685
2023-10-01,0.6276400015192894,0.24941835040346197,0.050094316952154855,0.6569311789885537,0.4675936923349404,0.07657879079307182,0.06743364487994429,0.06462874518928818,0.5317685318888853,0.10735250691922804,0.15980477075053917,0.08144128909967235,0.05086775890813505,0.1938415855173687,0.16333278740305462,0.05723403123437548,0.3407448677647712,0.4137700809117668,0.92430623879314,0.20454419632083928,0.0001436009584178076,0.0390335320509867,0.0020533064483845313,0.030884680853136393,0.016910707967962263,0.00332487108403888,0.16676018432068487,0.0235398640195187
