date,Postings count,Skill: (American Society For Quality) ASQ Certified,Skill: .NET Assemblies,Skill: .NET Development,Skill: .NET Framework,Skill: .NET Framework 1,Skill: .NET Framework 3,Skill: .NET Framework 4,Skill: .NET Remoting,Skill: 12 Volt Electricity,Skill: 1Password,Skill: 2020 Design Software,Skill: 2D Animation,Skill: 2D Computer Graphics,Skill: 2D Computer-Aided Drafting And Design,Skill: 35 Mm Films,Skill: 360-Degree Feedback,Skill: 389 Directory Server (Fedora Project),Skill: 3CX Phone Systems,Skill: 3D Animation,Skill: 3D Art,Skill: 3D Computer Graphics,Skill: 3D Computer Graphics Software,Skill: 3D Conformal Radiotherapy (3DCRT),Skill: 3D Graphic Design,Skill: 3D Modeling,Skill: 3D Modeling Software,Skill: 3D Reconstruction
2022-08-01,109603.99609375,0.00044426252134144306,1.7332946526948945e-06,3.636200381151866e-05,0.004820007365196943,6.966980237166354e-08,8.206246093322989e-06,4.250302481523249e-05,1.7637379414736643e-06,0.0001341941606369801,-1.964061357995206e-09,3.715678030857816e-05,2.425292132102186e-05,6.139007155070431e-06,5.646578028972726e-05,5.666106289936579e-06,6.117926386650652e-05,4.032596123693111e-08,-7.439668969766444e-08,4.272224578016903e-05,3.5536460927687585e-05,8.273562343674712e-05,4.5610580855282024e-05,1.1462847169241286e-06,8.628124419374217e-07,0.0014117442769929767,0.0001214351759699639,7.496375474147499e-06
2022-09-01,96373.9921875,0.0004338795115472749,1.682032348071516e-06,4.0019434891291894e-05,0.004722144920378923,3.46858293198693e-08,6.559433586517116e-06,3.407090298424009e-05,7.965084307670622e-07,0.00012504655023803934,-5.29823687145381e-08,4.471079591894522e-05,2.4368561753362883e-05,4.953496045345673e-06,5.4015883506508544e-05,4.932704541715793e-06,5.6079259593389e-05,-3.766851719433362e-08,5.638623967740841e-08,4.067269946972374e-05,3.2614931114949286e-05,7.77413442847319e-05,4.160482421866618e-05,-1.9125035777278754e-07,4.2719979376215633e-07,0.0013656465453095734,0.00010239065159112215,6.967860372242285e-06
2022-10-01,132198.6015625,0.00044366838119458407,1.7625799841880507e-06,3.6866367736365646e-05,0.004862631903961301,6.39983532835231e-08,6.507696070912061e-06,3.8577061786781996e-05,-9.535220968359681e-08,0.0001295299080084078,8.995232292363653e-08,5.342914846551139e-05,2.2677743800159078e-05,4.314394800530863e-06,5.4724410802009515e-05,4.728163958134246e-06,4.8039748435257934e-05,-7.213952812890057e-08,-1.6950805559190485e-07,4.234283187543042e-05,3.0293102099676616e-05,8.173171954695135e-05,4.160428034083452e-05,1.1038895308956853e-07,6.949858004645648e-07,0.0013697253889404237,9.143228817265481e-05,5.04932336298225e-06
2022-11-01,101050.08984375,0.0004430147528182715,1.778741136604367e-06,4.612562770489603e-05,0.0047184445429593325,-1.1369804542304962e-09,5.287859949021367e-06,4.0942910345620476e-05,1.2534478344150557e-07,0.00012707964197034016,1.451769620075538e-07,5.441978464659769e-05,1.9929540940211155e-05,5.052739425082109e-06,5.462748413265217e-05,3.5598810654846602e-06,5.06930191477295e-05,-4.021435273671159e-08,1.0535780248233095e-07,3.8995040085865185e-05,2.4918253984651528e-05,7.700099376961589e-05,4.0459170122630894e-05,4.980068126769766e-07,3.424436698651334e-07,0.0013090657303109765,8.429250374319963e-05,4.552363179755048e-06
2022-12-01,79824.08984375,0.0004352600371930748,1.6341575133083097e-06,5.0516044211690314e-05,0.00459841382689774,3.6182509433047017e-08,4.32543788519979e-06,4.063402229803614e-05,-3.587517305447818e-08,0.00012704820255748928,1.687509652015251e-07,5.2916628192178905e-05,2.275162023579469e-05,6.280006346059963e-06,4.730316868517548e-05,4.001442221124307e-06,4.6410097638727166e-05,3.7680225162262104e-08,4.086650733370334e-07,3.8373917050193995e-05,2.6404236450616736e-05,7.503679807996377e-05,3.798107718466781e-05,1.6306011616507021e-06,-1.792705504044534e-07,0.0011855140328407288,7.36123947717715e-05,3.620847678575956e-06
2023-01-01,85463.14453125,0.00042897058301605284,1.737130389756203e-06,4.7082545279408805e-05,0.004481152631342411,2.2585332715152617e-08,2.08157553061028e-06,3.98082393076038e-05,1.6412375458685347e-08,0.00012765393330482766,5.037244363848004e-07,6.340952677419409e-05,2.684770333871711e-05,4.16373040934559e-06,4.9909018343896605e-05,5.577642696152907e-06,4.579830419970676e-05,4.739540671039322e-08,6.51463295753274e-07,3.8584976209676825e-05,2.6410089958517347e-05,6.939233571756631e-05,3.452383498370182e-05,3.3115010467099637e-07,4.4266050736041507e-07,0.0012471720692701638,6.738904630765319e-05,3.6558988085744204e-06
2023-02-01,79363.99609375,0.00042271698475815356,1.161996181053837e-06,5.016707655158825e-05,0.0042957698460668325,-2.0881773643566248e-08,1.2358652838884154e-06,3.5820452467305586e-05,1.7287921316722077e-08,0.00012667385453823954,3.6642772727191186e-07,6.448697968153283e-05,3.15511006192537e-05,1.4960858720769465e-06,4.3699252273654565e-05,6.191641659825109e-06,4.768620237882715e-05,2.4143408161592106e-08,1.1085576829827914e-06,3.881136217387393e-05,2.8204822228872217e-05,6.151710476842709e-05,2.9289985832292587e-05,3.2282767961078207e-06,1.52312094314766e-06,0.0010955964680761099,7.302838639589027e-05,3.764451662391366e-06
2023-03-01,85531.8671875,0.0004225355078233406,1.5691591102040547e-06,4.42245218437165e-05,0.004078318364918232,-3.0107619508612515e-08,2.0906884401483694e-06,3.0496988074446563e-05,6.490094150990444e-08,0.00012370026524877176,8.148463450652343e-07,6.852523802081123e-05,2.927397781604668e-05,1.8834000456990907e-06,3.9132813981268555e-05,5.4976760566205485e-06,3.8603633583988994e-05,4.065759817706294e-08,9.794578090804862e-07,4.31751996075036e-05,2.6766524570120964e-05,6.113391282269731e-05,2.7259252419753466e-05,4.297978421163862e-06,1.8095477116730763e-06,0.0010794923291541636,6.723696424160153e-05,4.165274276601849e-06
2023-04-01,66331.59375,0.0004292574158171192,2.0000178437840077e-06,4.187331251159776e-05,0.003848658176138997,1.850273889658638e-08,1.0484537256161275e-06,3.241284139221534e-05,-3.3472261407041515e-08,0.00012163833889644593,5.596660344053817e-07,7.056652611936443e-05,2.915987352025695e-05,7.163645250329864e-06,2.9043784707027953e-05,6.07949982622813e-06,4.951665687258355e-05,2.6413190523655317e-09,7.237078420985199e-07,4.6606346586486325e-05,2.5934461518772878e-05,5.820459955430124e-05,2.564140595495701e-05,4.815601187146967e-06,1.7556049556333164e-06,0.001006439735647291,6.65771440253593e-05,3.1332274375017732e-06
2023-05-01,124906.58984375,0.0004339789447840303,6.299845836110762e-07,4.85339442093391e-05,0.0037914651911705732,3.6795603364225826e-07,1.0737904787561092e-07,2.7610148208623286e-05,-1.4676194126650444e-07,0.00012563617929117754,7.79967052721986e-07,7.139209992601536e-05,3.470514639047906e-05,6.405219664884498e-06,2.8992641091463156e-05,6.483868901341339e-06,5.020257958676666e-05,3.429857287073901e-08,9.517156911442726e-07,4.2663370550144464e-05,2.5140529942291323e-05,5.150113793206401e-05,2.4725287403271068e-05,4.830839088754146e-06,1.636545221117558e-06,0.0009929462685249746,7.088596248649992e-05,3.6645069485530257e-06
2023-06-01,90086.73828125,0.0004413667629705742,-2.9007536284098023e-07,4.3738982640206814e-05,0.0034224819391965866,8.223215672842343e-07,-1.3150087596613957e-07,2.921558916568756e-05,-1.7231885607316144e-07,0.00013443023635772988,9.114301633417199e-07,6.840988498879597e-05,3.326559453853406e-05,5.513848464033799e-06,3.44000418408541e-05,6.180137688716059e-06,5.471474287332967e-05,3.9315327882150086e-08,6.83821809843721e-07,4.04001802962739e-05,2.587693597888574e-05,4.7796980652492493e-05,2.1409067812783178e-05,5.715881115975208e-06,1.850555463533965e-06,0.0009620723139960319,7.603943595313467e-05,3.6675793353424524e-06
