subcategory_clean,tot,counts,mean
Account Management,1081237828.5,15157.0,71335.87309493963
Accounting and Finance Software,1295190751.0,24364.0,53160.02097356756
Accounts Payable and Receivable,2358998932.5,46596.0,50626.64032320371
Administrative Support and Clerical Tasks,9164424962.0,206358.0,44410.32071448647
Advertising,456464679.0,7508.0,60797.10695258391
Aerospace Engineering,63066573.5,855.0,73762.07426900585
Agile Software Development,4938320331.0,42306.0,116728.60424053326
Agricultural Management and Operations,12494875.5,172.0,72644.625
Agricultural Research and Agronomy,26771198.0,399.0,67095.7343358396
Agriculture and Crop Farming,183224925.0,3777.0,48510.702938840346
Air Quality and Emissions,30259980.5,444.0,68153.10923423423
Air Transportation,206750006.5,2696.0,76687.68787091988
Alternative Therapy,241532620.0,3677.0,65687.41365243404
Anesthesiology,380458674.0,3793.0,100305.47693118903
Animal Care,111799610.5,2874.0,38900.351600556714
Animal Health and Veterinary Medicine,134328263.5,2586.0,51944.41744006187
Animation and Game Design,231163616.0,3122.0,74043.43882126841
Appliance Repair and Maintenance,210038266.0,4200.0,50009.11095238095
Application Programming Interface (API),2243012811.5,18648.0,120281.6822983698
Aquaculture,3258188.0,63.0,51717.269841269845
Architectural Design,488178972.5,5688.0,85826.12034106892
Art and Illustration,159837818.0,2821.0,56659.98511166253
Artificial Intelligence and Machine Learning (AI/ML),1471280288.0,16703.0,88084.79243249715
Audio Production and Technology,95341502.0,1620.0,58852.77901234568
Auditing,4335331277.5,63480.0,68294.44356490234
Augmented and Virtual Reality (AR/VR),69196958.5,656.0,105483.16844512195
Automation Engineering,999401648.5,13481.0,74134.08860618649
Automotive Technologies,337371026.0,5359.0,62954.10076506811
Backup Software,166288708.0,2276.0,73061.82249560632
Banking Services,758620964.5,15263.0,49703.2670182795
Basic Electrical Systems,1362993031.5,24568.0,55478.38780120482
Basic Technical Knowledge,6995520808.0,152598.0,45842.807952922056
Beauty and Body Treatments and Alterations,404730859.5,6159.0,65713.72942036045
Billing and Invoicing,4156691170.5,82869.0,50159.78436447887
Bioinformatics,4174020.0,48.0,86958.75
Biology,458155565.0,8206.0,55831.77735803071
Biotechnology,124403182.0,1408.0,88354.53267045454
Blockchain,65346503.5,511.0,127879.65459882583
Blood Collection,325254317.0,6211.0,52367.46369344711
Brand Management,942311234.5,16328.0,57711.36908990691
Budget Management,2121234900.5,25677.0,82612.25612415781
Business Analysis,3481309464.0,36992.0,94109.79303633218
Business Communications,988401514.0,14812.0,66729.78085336214
Business Consulting,1654816793.5,17341.0,95427.9910904792
Business Continuity,615766228.5,6244.0,98617.26913837284
Business Intelligence,1764383461.5,19555.0,90226.71754027103
Business Intelligence Software,1395642686.5,13896.0,100434.85078439838
Business Leadership,1087715589.0,10982.0,99045.30950646513
Business Management,16438576813.0,250379.0,65654.77461368566
Business Operations,15254070730.0,241615.0,63133.79024481096
Business Solutions,2583272189.5,29941.0,86278.7545339167
Business Strategy,4275982615.0,48726.0,87755.66668718959
Business-to-Business (B2B) Sales,1163829109.0,16339.0,71230.13091376462
C and C++,803306201.0,6941.0,115733.49675839217
Cannabis,80163984.5,1327.0,60409.935568952526
Cardiology,581242124.5,5663.0,102638.55279886986
Carpentry,825773200.0,17036.0,48472.247006339516
Cash Management,307495821.5,5289.0,58138.744847797316
Cash Register Operation,1899874228.5,58970.0,32217.639960997116
Chemical and Biomedical Engineering,113200330.0,1351.0,83790.029607698
Chemistry,861311271.5,14080.0,61172.67553267045
Child Care,45802620.5,1273.0,35980.063236449336
Childhood Education and Development,1368541634.5,31535.0,43397.54667829396
Circuitry,284607330.0,4464.0,63756.12231182796
Civil and Architectural Engineering,724532038.5,9353.0,77465.20244841228
Clean Energy,9257535.5,120.0,77146.12916666667
Cleaning and Janitorial Services,3154606002.0,88187.0,35771.780443829586
Client Support,832808692.5,12589.0,66153.68118992771
Climate Change,3924845.0,55.0,71360.81818181818
Clinical Informatics,239934439.5,3588.0,66871.35994983278
Clinical Trials,617096389.0,6674.0,92462.74932574168
Cloud Computing,1737543035.0,13434.0,129339.21654012208
Cloud Solutions,3728539453.5,31074.0,119989.04078972775
Coaching and Athletic Training,274173328.0,5300.0,51730.81660377359
Collaborative Software,728820052.0,8184.0,89054.25855327469
Commercial Lending,164122766.0,1504.0,109124.1795212766
Communication,37624281389.0,655639.0,57385.66709576459
Community and Social Work,1341070732.5,24407.0,54946.152026058095
"Company, Product, and Service Knowledge",1354801117.5,24946.0,54309.3529022689
Compensation and Benefits,694693387.5,11399.0,60943.36235634705
Computer Hardware,639314492.0,10528.0,60725.16071428572
Computer Science,9731799021.5,102556.0,94892.53697004564
Computer-Aided Manufacturing,480110713.5,8879.0,54072.611048541505
Concrete and Masonry,220917064.5,4239.0,52115.37261146497
Configuration Management,736385489.5,6594.0,111675.08181680315
Conservation,38861322.5,640.0,60720.81640625
Construction Estimating,305181894.5,3359.0,90854.98496576362
Construction Inspection,450065741.0,6302.0,71416.33465566486
Construction Management,1667059615.5,23928.0,69669.82679287864
Construction Painting,539855825.5,12281.0,43958.62108134517
Content Development and Management,826167194.5,11730.0,70431.98589087809
Content Management Systems,413517090.5,5384.0,76804.80878528974
Contract Management,2249308158.0,26972.0,83394.19242177073
Cost Accounting,825177249.0,9661.0,85413.23351619915
Counseling Services,605614977.5,8788.0,68913.85724852071
Creative Design,792707306.5,9646.0,82179.89907733776
Criminal Investigation and Forensics,256855793.5,2998.0,85675.7149766511
Critical Thinking and Problem Solving,23271484379.5,365812.0,63615.96770882311
Cryptocurrency,28973015.0,339.0,85466.1209439528
Customer Relationship Management (CRM),4412450214.0,63235.0,69778.60700561397
Customer Service,22418926626.5,488272.0,45914.83154164073
Cybersecurity,3445846372.0,30692.0,112271.80933142187
Dance,25401447.0,457.0,55583.03501094092
Data Analysis,5554138924.0,67898.0,81801.21541135233
Data Collection,763179869.5,12744.0,59885.42604362837
Data Management,2401050715.5,28938.0,82972.24118805723
Data Science,3346450738.5,28250.0,118458.43322123894
Data Storage,676244815.0,7021.0,96317.44979347671
Data Visualization,378090445.0,3586.0,105435.1491912995
Database Architecture and Administration,1199663079.5,12696.0,94491.42088059231
Databases,3846575619.0,35648.0,107904.38787589766
Dermatology,173466480.0,1434.0,120966.86192468619
Dictation,220757527.0,4520.0,48840.16084070796
Digital Design,213952667.0,2664.0,80312.56268768769
Digital Marketing,1623203195.5,23958.0,67752.03253610485
