,July 2023 actual,July 2025 predicted,Percent change,Monthly average obs
Skill cat: Personal Care and Services,0.0082895144697206,0.0945570909888095,1040.683104350701,198.0
Skill cat: Design,0.0025406870599606,0.0269907008966443,962.3386611440003,50.0
Skill cat: Analysis,0.0269258450928297,0.0967179891598138,259.20131318578234,559.1805555555555
Skill cat: Human Resources,0.0284588994056289,0.0864391048518432,203.733126217616,615.8611111111111
Skill cat: Hospitality and Food Services,0.0356091485385349,0.0741027290974217,108.10025552065778,1435.0972222222222
Skill cat: Energy and Utilities,0.0028733151276546,0.0036735263443913,27.849754767061984,63.958333333333336
"Skill cat: Agriculture, Horticulture, and Landscaping",0.0006292160413098,0.0007616203088006,21.04273553089686,16.97222222222222
"Skill cat: Economics, Policy, and Social Studies",0.0575484206406934,0.0646007499547668,12.254600970033565,1066.736111111111
Skill cat: Engineering,0.0116690612146305,0.0126728503278948,8.602141121736189,248.75
Skill cat: Health Care,0.926998058057398,0.9793832437649164,5.6510566826100925,21496.430555555555
Skill cat: Marketing and Public Relations,0.0211951224544301,0.0223152417215635,5.284797337414185,508.7638888888889
Skill cat: Business,0.2408846710914786,0.2475521499865204,2.767913319195702,5111.375
Skill cat: Science and Research,0.1209071621318908,0.1233257615689454,2.000377309671929,2388.2083333333335
Skill cat: Social and Human Services,0.0244502128191258,0.0247633788979382,1.2808317094378352,545.625
Skill cat: Physical and Inherent Abilities,0.4698768002425206,0.4749609127486047,1.0820096892334323,10552.527777777777
Skill cat: Environment,0.010020358061488,0.0098906120069236,-1.2948245338962758,234.97222222222223
Skill cat: Administration,0.1961942220218123,0.1882714929632961,-4.03820712805466,4480.458333333333
Skill cat: Manufacturing and Production,0.0126572918649605,0.0117870841934778,-6.875148971572019,263.7916666666667
Skill cat: Information Technology,0.1475547458564389,0.1349374800707086,-8.550904759109596,3268.6805555555557
Skill cat: Media and Communications,0.3739651594093307,0.2893362431784885,-22.63016061830777,8305.402777777777
Skill cat: Architecture and Construction,0.00414894021909,0.0029431065827422,-29.063654154368106,80.44444444444444
Skill cat: Finance,0.0502811461692438,0.0335051828502707,-33.36432161372386,1188.5416666666667
Skill cat: Sales,0.0252631273385196,0.0139333846292551,-44.846952467320364,712.6944444444445
"Skill cat: Performing Arts, Sports, and Recreation",0.0111335869950034,0.0051569650492877,-53.6810099781672,322.625
Skill cat: Education and Training,0.1124204598877083,0.0432988505336688,-61.48490179019187,2602.402777777778
Skill cat: Customer and Client Support,0.150354887553047,0.0287366615577496,-80.88744434888359,3671.4583333333335
"Skill cat: Maintenance, Repair, and Facility Services",0.0589678925477871,-0.0250337062945529,-142.45311340279932,1851.7916666666667
