,July 2022 actual,July 2024 predicted,Percent change,Monthly average obs
Skill cat: Social and Human Services,0.0356723944243313,0.2304481625987107,546.01259970799,8481.6875
Skill cat: Hospitality and Food Services,0.1143774289812188,0.2175550974278479,90.20806759310112,30992.458333333332
Skill cat: Human Resources,0.095887122440244,0.1665082305230879,73.65025280308558,24659.770833333332
Skill cat: Public Safety and National Security,0.0424567898715632,0.0608999613218752,43.43986322589337,11864.9375
Skill cat: Science and Research,0.137828604238614,0.1958715347039351,42.112398065669296,39599.395833333336
"Skill cat: Agriculture, Horticulture, and Landscaping",0.0091144289584983,0.0121775830113039,33.60774511221037,2382.75
Skill cat: Customer and Client Support,0.36293667006475,0.4824393774622337,32.92660049373455,105940.1875
Skill cat: Personal Care and Services,0.0072353641154025,0.0094167992818589,30.149625252620037,1868.4166666666667
Skill cat: Physical and Inherent Abilities,0.6800306258302887,0.8297708662626244,22.01963187312471,204630.66666666666
"Skill cat: Transportation, Supply Chain, and Logistics",0.2166069309535808,0.2435205621339095,12.425101570778601,71411.58333333333
"Skill cat: Maintenance, Repair, and Facility Services",0.1274640190782616,0.1416598201790774,11.137104575448646,37639.479166666664
"Skill cat: Law, Regulation, and Compliance",0.3360708537857948,0.3587548372619791,6.749762206585941,99668.64583333333
Skill cat: Manufacturing and Production,0.1236541742138638,0.130054298669292,5.175825641242797,36398.979166666664
Skill cat: Architecture and Construction,0.0712326180296085,0.0740748090880818,3.9900134756972157,22095.9375
Skill cat: Media and Communications,0.5200549014262643,0.5246778695522488,0.8889384780925809,160138.79166666666
Skill cat: Analysis,0.15862969765762,0.1598875929675539,0.7929759234925128,47999.25
Skill cat: Health Care,0.2593042004777219,0.2574043206538788,-0.7326837823463358,75751.4375
Skill cat: Finance,0.2474089649969461,0.2432250822247488,-1.6910796956160914,76336.79166666667
Skill cat: Energy and Utilities,0.0160792392820165,0.0157613822291223,-1.9768164856511683,4726.333333333333
Skill cat: Business,0.5336737912362421,0.5133734795812424,-3.8038801957980026,164215.91666666666
Skill cat: Education and Training,0.1308780307497347,0.1250451720357093,-4.456713384677218,36544.125
Skill cat: Property and Real Estate,0.0158432707072756,0.0146087248314857,-7.792241252451533,4773.083333333333
Skill cat: Design,0.0494627083818093,0.0454752632980637,-8.061517887306078,14479.458333333334
Skill cat: Information Technology,0.3484055324070972,0.3039263543711523,-12.766495907410814,108767.22916666667
Skill cat: Sales,0.2632694786212897,0.2199326841072426,-16.461002141606627,87691.125
Skill cat: Administration,0.2979274098916702,0.248443551686385,-16.60936743728216,93349.64583333333
Skill cat: Marketing and Public Relations,0.1522460395718468,0.1178406674064301,-22.598533441114817,47948.125
"Skill cat: Performing Arts, Sports, and Recreation",0.0083448597755846,0.0037041763751172,-55.61128077963775,2380.7291666666665
Skill cat: Environment,0.0195210151756944,-0.0523378003438263,-368.11003358571253,5110.729166666667
